Fall,Major Name,College,Total,Male,Female,Illinois
1981,GEN ENGR,Engineering,586,446.0,140.0,16.0
1981,GEN H ECON,ACES,7,0.0,7.0,0.0
1981,Genetics,LAS,5,2.0,3.0,5.0
1981,Geography,LAS,43,30.0,13.0,28.0
1981,Geology,LAS,114,76.0,38.0,43.0
1981,German,LAS,22,11.0,11.0,11.0
1981,Graphic Design,Fine and Applied Arts,165,37.0,128.0,8.0
1981,H DVL-FAM,ACES,40,1.0,39.0,1.0
1981,HEALTH&SAF,Applied Health Sciences,12,6.0,6.0,0.0
1981,HLTH EDUC,Applied Health Sciences,80,16.0,64.0,2.0
1981,HOME ECON,ACES,151,0.0,151.0,4.0
1981,HOME MGMT,ACES,1,0.0,1.0,0.0
1981,HR&FS,ACES,2,0.0,2.0,1.0
1981,HR&FS,LAS,49,1.0,48.0,0.0
1981,HR&FS A&ID,ACES,3,0.0,3.0,1.0
1981,HR&FS GEN,ACES,8,0.0,8.0,2.0
1981,HU DEV&FAM,ACES,13,0.0,13.0,3.0
1981,History,LAS,84,60.0,24.0,26.0
1981,Horticulture,ACES,59,33.0,26.0,14.0
1981,INST MGMT,ACES,8,1.0,7.0,0.0
1981,INT DSGN,ACES,168,9.0,159.0,4.0
1981,Industrial Agriculture,ACES,73,57.0,16.0,0.0
1981,Industrial Design,Fine and Applied Arts,83,48.0,35.0,1.0
1981,Industrial Engineering,Engineering,188,135.0,53.0,13.0
1981,Italian,LAS,5,2.0,3.0,1.0
1981,Journalism,Media,45,23.0,22.0,12.0
1981,Kinesiology,Applied Health Sciences,284,144.0,140.0,60.0
1981,LAB&IN REL,Labor and Industrial Relations,64,40.0,24.0,0.0
1981,LAS TCH MATH,LAS,1,0.0,1.0,0.0
1981,Landscape Architecture,Fine and Applied Arts,159,97.0,62.0,25.0
1981,Law,Law,645,451.0,194.0,0.0
1981,Leisure Studies,Applied Health Sciences,48,26.0,22.0,24.0
1981,Library & Information Science,iSchool,148,34.0,114.0,48.0
1981,Linguistics,LAS,73,41.0,32.0,48.0
1981,MARKETING,Business,186,85.0,101.0,3.0
1981,METAL ENGR,Engineering,196,162.0,34.0,58.0
1981,MKT TEXT&A,ACES,98,2.0,96.0,0.0
1981,MOTOR DEV,Applied Health Sciences,33,7.0,26.0,0.0
1981,MOTOR P&SP,Applied Health Sciences,25,8.0,17.0,1.0
1981,MUS-VOICE,Fine and Applied Arts,40,11.0,29.0,3.0
1981,MUSIC-COMP,Fine and Applied Arts,18,13.0,5.0,2.0
1981,MUSIC-INST,Fine and Applied Arts,105,50.0,55.0,35.0
1981,Mathematics,LAS,151,123.0,28.0,107.0
1981,Mechanical Agriculture,ACES,49,49.0,0.0,0.0
1981,Mechanical Engineering,Engineering,1021,939.0,82.0,79.0
1981,Microbiology,LAS,61,33.0,28.0,34.0
1981,Molecular & Integrative Physi,LAS,60,41.0,19.0,26.0
